I, [2017-02-22T19:33:27.071080 #4918]  INFO -- Kitchen: -----> Starting Kitchen (v1.15.0)
E, [2017-02-22T19:33:27.121494 #4918] ERROR -- Kitchen: ------Exception-------
E, [2017-02-22T19:33:27.121561 #4918] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-02-22T19:33:27.121580 #4918] ERROR -- Kitchen: Message: You must first install the Docker CLI tool http://www.docker.io/gettingstarted/
E, [2017-02-22T19:33:27.121594 #4918] ERROR -- Kitchen: ----------------------
E, [2017-02-22T19:33:27.121606 #4918] ERROR -- Kitchen: ------Backtrace-------
E, [2017-02-22T19:33:27.121617 #4918] ERROR -- Kitchen: /home/user/.chefdk/gem/ruby/2.3.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:93:in `rescue in verify_dependencies'
E, [2017-02-22T19:33:27.121629 #4918] ERROR -- Kitchen: /home/user/.chefdk/gem/ruby/2.3.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:91:in `verify_dependencies'
E, [2017-02-22T19:33:27.121652 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/driver.rb:43:in `for_plugin'
E, [2017-02-22T19:33:27.121663 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:233:in `new_driver'
E, [2017-02-22T19:33:27.121674 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:246:in `new_instance'
E, [2017-02-22T19:33:27.121685 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:142:in `block in build_instances'
E, [2017-02-22T19:33:27.121697 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `map'
E, [2017-02-22T19:33:27.121708 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `with_index'
E, [2017-02-22T19:33:27.121719 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-02-22T19:33:27.121730 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-02-22T19:33:27.121741 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-02-22T19:33:27.121798 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-02-22T19:33:27.121810 #4918] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:35:in `block in call'
